NO;MERK;TYPE;SN;NO INVENTARIS;KETERANGAN;LOKASI BMC;KONDISI;
1;DELL;P2217H;CN-0M84D9-QDC00-85O-0P0L-A05;;EX PUSDAL;GUDANG IT;BAIK;
2;SPC;SM 19HD;190012203026799;IT.002.0522.1.B050.00013;GUDANG IT;GUDANG IT;LAYAR KURANG CERAH;
3;SPC;SM 19HD;0190012203035022;;GUDANG IT;GUDANG IT;LAYAR KUNING;
4;SPC;SM 19HD;0190012203035188;;GUDANG IT;GUDANG IT;LAYAR KUNING;
5;LG;20MK400A-B;907INYD25010;;GUDANG IT;GUDANG IT;NORMAL;
6;DELL;E1916H;CN-OJF27G-FCC00-7BN-DFJU-A04;IT.002.0119.2.B050.00001;GUDANG IT;GUDANG IT;NORMAL;
7;HP;20WD;3CQ53720MD;IT.002.0319.1.B050.00005;GUDANG IT;GUDANG IT;LAYAR KUNING;
8;LG;16M38A-B;610INKH0Q221;;IT PWT;GUDANG IT;NORMAL;
9;ACER;P166HQL;ETLTJ0D0101480D17A8501;;GUDANG IT;GUDANG IT;NORMAL;
10;SAMSUNG;B1630N;E688HRHZ205124Z;IT.002.1020.1.B050.00010;SDM;GUDANG IT;NORMAL;
11;HP;LV1911;6CM32530TQ;IT.102.1013.2.0043.5;EX JJ KB5;GUDANG IT;NORMAL;
12;DELL;E2020H;CN-07TR2H-QDC00-1BP-0URI-A06;;EX KRV KA;GUDANG IT;NORMAL;
13;SPC;SM 19HD;0190012203035014;IT.002.0522.1.B050.000E;EX LB6;GUDANG IT;BERGARIS;
14;SPC;SM 19HD;190012203039065;;GUDANG IT;GUDANG IT;NORMAL;
15;HP;L2105TM;4CU10500MQ;;GUDANG IT;GUDANG IT;;
16;SAMSUNG;S16A100N;ZTP5H4L;IT.002.0123.1.B050.00001;GUDANG IT;GUDANG IT;BAIK;
17;ACER;MONITOR V;URTYESD00541400C9B0601;IT.057.0824.6.A010.00132;GUDANG IT;GUDANG IT;;
18;SPC;SM 19HD;190012203026765;IT.002.0522.1.B050.00014;EX ADM KRETEK;GUDANG IT;;
19;SPC;SM 19HD;190012203036152;IT.002.0422.1.B050.00010;GUDANG IT;GUDANG IT;LAYAR KUNING;
20;DELL;E1916HV;CN-0779TP-FCC00-7CD-ADNI-A04;;GUDANG IT;GUDANG IT;NORMAL;
