NO,MERK,TYPE,SN,NO INVENTARIS,KETERANGAN,LOKASI BMC,KONDISI,,,,
1,HP,LV1911,6CM3253HWY,IT.002.0118.2.A010.00277,GUDANG IT,GUDANG IT,RUSAK,,,,
2,DELL,E1916HV,CN-09YKV7-FCC00-763-DK7B-A00,IT.002.0312.1.B050.00004,GUDANG IT,GUDANG IT,RUSAK,,,,
3,HP,LV1911,6CM325304J,IT.002.0518.2.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
4,HP,LV1911,6CM3252YLV,IT.002.0118.2.A010.00267,GUDANG IT,GUDANG IT,RUSAK,,,,
5,DELL,E1914Hc,CN-0657PN-64180-525-2F4B,IT.002.0211.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
6,LG,E1600SI,104UXQA0C948,IT.002.1110.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
7,HP,LV1911,6CM3253JCW,IT.002.0118.2.A010.00246,EX SINTEL KARANG SARI,GUDANG IT,RUSAK,,,,
8,HP,W2072a,CNC314QPF1,IT.002.0119.1.B050.00003,GUDANG IT,GUDANG IT,RUSAK,,,,
9,HP,LV2011,CNC644P3F1,IT.002.0610.1.B050.00003,GUDANG IT,GUDANG IT,RUSAK,,,,
10,DELL,E1914Hc,CN-0657PN-64180-525-2DNB,IT.002.0818.2.B050.00004,GUDANG IT,GUDANG IT,RUSAK,,,,
11,DELL,E1914Hc,CN-0657PN-64180-525-2ECB,IT.002.0918.2.B050.00004,EX KROYA,GUDANG IT,RUSAK,,1,,tidak ada
12,ACER,P166HQL,MMLTYSS002334026F34201,IT.002.0321.1.B050.00003,EX OP,GUDANG IT,RUSAK,,2,,sesuai
13,ACER,P166HQL,ETLTJ0D010147066B18501,IT.002.0310.1.B050.00002,GUDANG IT,GUDANG IT,RUSAK,,3,,sudah input pemusnahan
14,DELL,E1914Hc,CN-0657PN-64180-525-2WBB,IT.002.1118.2.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,4,,sudah bast ke pak toto
15,HP,LV1911,6CM3253061,IT.002.0118.2.A010.00278,GUDANG IT,GUDANG IT,RUSAK,,,,
16,SPC,SM 19HD,190012203044867',IT.002.1212.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
